11/21/2022 	 2:57:00 PM
 Current Sensitivity 	 1.000000E-9
 This file comes from It only measurement 	 0.000000E+0
 Sampling rate 	 100
 Number of samples per channel 	 -1
 No filter from Labview

 ***End_of_Header***
 	 Time 	 Current 	 Filtered Current
	1.580000	3.740058E-9
	1.590000	3.737159E-9
	1.600000	3.726531E-9
	1.610000	3.714936E-9
	1.620000	3.699799E-9
	1.630000	3.686272E-9
	1.640000	3.674999E-9
	1.650000	3.663083E-9
	1.660000	3.654709E-9
	1.670000	3.644081E-9
	1.680000	3.636029E-9
	1.690000	3.629587E-9
	1.700000	3.621214E-9
	1.710000	3.617027E-9
	1.720000	3.612840E-9
	1.730000	3.611874E-9
	1.740000	3.612196E-9
	1.750000	3.612840E-9
	1.760000	3.615738E-9
	1.770000	3.617671E-9
	1.780000	3.619925E-9
	1.790000	3.621214E-9
	1.800000	3.615094E-9
	1.810000	3.606720E-9
	1.820000	3.601567E-9
	1.830000	3.602533E-9
	1.840000	3.607042E-9
	1.850000	3.608653E-9
	1.860000	3.613162E-9
	1.870000	3.614772E-9
	1.880000	3.616705E-9
	1.890000	3.617027E-9
	1.900000	3.613484E-9
	1.910000	3.609297E-9
	1.920000	3.601567E-9
	1.930000	3.597058E-9
	1.940000	3.596092E-9
	1.950000	3.593193E-9
	1.960000	3.593193E-9
	1.970000	3.592227E-9
	1.980000	3.592227E-9
	1.990000	3.592549E-9
	2.000000	3.590295E-9
	2.010000	3.590939E-9
	2.020000	3.589329E-9
	2.030000	3.588040E-9
	2.040000	3.587396E-9
	2.050000	3.583853E-9
	2.060000	3.583531E-9
	2.070000	3.581277E-9
	2.080000	3.580311E-9
	2.090000	3.580955E-9
	2.100000	3.582887E-9
	2.110000	3.592549E-9
	2.120000	3.604466E-9
	2.130000	3.625401E-9
	2.140000	3.651166E-9
	2.150000	3.674033E-9
	2.160000	3.696256E-9
	2.170000	3.709139E-9
	2.180000	3.714292E-9
	2.190000	3.713648E-9
	2.200000	3.704952E-9
	2.210000	3.694646E-9
	2.220000	3.681119E-9
	2.230000	3.666304E-9
	2.240000	3.653421E-9
	2.250000	3.638605E-9
	2.260000	3.628943E-9
	2.270000	3.618637E-9
	2.280000	3.610907E-9
	2.290000	3.606398E-9
	2.300000	3.600923E-9
	2.310000	3.598024E-9
	2.320000	3.594804E-9
	2.330000	3.591905E-9
	2.340000	3.591905E-9
	2.350000	3.591261E-9
	2.360000	3.595126E-9
	2.370000	3.596414E-9
	2.380000	3.599313E-9
	2.390000	3.603500E-9
	2.400000	3.605110E-9
	2.410000	3.608653E-9
	2.420000	3.609941E-9
	2.430000	3.610585E-9
	2.440000	3.611229E-9
	2.450000	3.608975E-9
	2.460000	3.609941E-9
	2.470000	3.608653E-9
	2.480000	3.609619E-9
	2.490000	3.608975E-9
	2.500000	3.601889E-9
	2.510000	3.598024E-9
	2.520000	3.591583E-9
	2.530000	3.591583E-9
	2.540000	3.592227E-9
	2.550000	3.587718E-9
	2.560000	3.584175E-9
	2.570000	3.580311E-9
	2.580000	3.578700E-9
	2.590000	3.579022E-9
	2.600000	3.577090E-9
	2.610000	3.578378E-9
	2.620000	3.576768E-9
	2.630000	3.576446E-9
	2.640000	3.575802E-9
	2.650000	3.571937E-9
	2.660000	3.570648E-9
	2.670000	3.566462E-9
	2.680000	3.565495E-9
	2.690000	3.568072E-9
	2.700000	3.573225E-9
	2.710000	3.586430E-9
	2.720000	3.602856E-9
	2.730000	3.625723E-9
	2.740000	3.650200E-9
	2.750000	3.670490E-9
	2.760000	3.687560E-9
	2.770000	3.694646E-9
	2.780000	3.696256E-9
	2.790000	3.693358E-9
	2.800000	3.683695E-9
	2.810000	3.674033E-9
	2.820000	3.660184E-9
	2.830000	3.647945E-9
	2.840000	3.635707E-9
	2.850000	3.622824E-9
	2.860000	3.614450E-9
	2.870000	3.604788E-9
	2.880000	3.598024E-9
	2.890000	3.592549E-9
	2.900000	3.587718E-9
	2.910000	3.587718E-9
	2.920000	3.586752E-9
	2.930000	3.587718E-9
	2.940000	3.589651E-9
	2.950000	3.590617E-9
	2.960000	3.595126E-9
	2.970000	3.596414E-9
	2.980000	3.598991E-9
	2.990000	3.602856E-9
	3.000000	3.605432E-9
	3.010000	3.610585E-9
	3.020000	3.612840E-9
	3.030000	3.615738E-9
	3.040000	3.618637E-9
	3.050000	3.618315E-9
	3.060000	3.619281E-9
	3.070000	3.615094E-9
	3.080000	3.599957E-9
	3.090000	3.585142E-9
	3.100000	3.573547E-9
	3.110000	3.570648E-9
	3.120000	3.573225E-9
	3.130000	3.577734E-9
	3.140000	3.581277E-9
	3.150000	3.580633E-9
	3.160000	3.584175E-9
	3.170000	3.585786E-9
	3.180000	3.585142E-9
	3.190000	3.587074E-9
	3.200000	3.585142E-9
	3.210000	3.587074E-9
	3.220000	3.585786E-9
	3.230000	3.585142E-9
	3.240000	3.586752E-9
	3.250000	3.584820E-9
	3.260000	3.585464E-9
	3.270000	3.587718E-9
	3.280000	3.593515E-9
	3.290000	3.604144E-9
	3.300000	3.618959E-9
	3.310000	3.642148E-9
	3.320000	3.666948E-9
	3.330000	3.694968E-9
	3.340000	3.719767E-9
	3.350000	3.735227E-9
	3.360000	3.746177E-9
	3.370000	3.747465E-9
	3.380000	3.743601E-9
	3.390000	3.736837E-9
	3.400000	3.723310E-9
	3.410000	3.710427E-9
	3.420000	3.694968E-9
	3.430000	3.680153E-9
	3.440000	3.669202E-9
	3.450000	3.657930E-9
	3.460000	3.653421E-9
	3.470000	3.647945E-9
	3.480000	3.645369E-9
	3.490000	3.643759E-9
	3.500000	3.640860E-9
	3.510000	3.641826E-9
	3.520000	3.640216E-9
	3.530000	3.639894E-9
	3.540000	3.641504E-9
	3.550000	3.641826E-9
	3.560000	3.644725E-9
	3.570000	3.646335E-9
	3.580000	3.648268E-9
	3.590000	3.651488E-9
	3.600000	3.651166E-9
	3.610000	3.654387E-9
	3.620000	3.654709E-9
	3.630000	3.654709E-9
	3.640000	3.654065E-9
	3.650000	3.651810E-9
	3.660000	3.649878E-9
	3.670000	3.642470E-9
	3.680000	3.632486E-9
	3.690000	3.626045E-9
	3.700000	3.621214E-9
	3.710000	3.623790E-9
	3.720000	3.624756E-9
	3.730000	3.625078E-9
	3.740000	3.626367E-9
	3.750000	3.624756E-9
	3.760000	3.625723E-9
	3.770000	3.624756E-9
	3.780000	3.623468E-9
	3.790000	3.624756E-9
	3.800000	3.622824E-9
	3.810000	3.621214E-9
	3.820000	3.618637E-9
	3.830000	3.616705E-9
	3.840000	3.617027E-9
	3.850000	3.617027E-9
	3.860000	3.621536E-9
	3.870000	3.628621E-9
	3.880000	3.640538E-9
	3.890000	3.659862E-9
	3.900000	3.681119E-9
	3.910000	3.707529E-9
	3.920000	3.730718E-9
	3.930000	3.748754E-9
	3.940000	3.760026E-9
	3.950000	3.760670E-9
	3.960000	3.758416E-9
	3.970000	3.749398E-9
	3.980000	3.737481E-9
	3.990000	3.722988E-9
	4.000000	3.705918E-9
	4.010000	3.691103E-9
	4.020000	3.675322E-9
	4.030000	3.661150E-9
	4.040000	3.651488E-9
	4.050000	3.642792E-9
	4.060000	3.638283E-9
	4.070000	3.632486E-9
	4.080000	3.627977E-9
	4.090000	3.624756E-9
	4.100000	3.619281E-9
	4.110000	3.619925E-9
	4.120000	3.620247E-9
	4.130000	3.620892E-9
	4.140000	3.622824E-9
	4.150000	3.622180E-9
	4.160000	3.624756E-9
	4.170000	3.626367E-9
	4.180000	3.629910E-9
	4.190000	3.634419E-9
	4.200000	3.636995E-9
	4.210000	3.641182E-9
	4.220000	3.642148E-9
	4.230000	3.642470E-9
	4.240000	3.644081E-9
	4.250000	3.639894E-9
	4.260000	3.635063E-9
	4.270000	3.626045E-9
	4.280000	3.619925E-9
	4.290000	3.619603E-9
	4.300000	3.619925E-9
	4.310000	3.622180E-9
	4.320000	3.623468E-9
	4.330000	3.624434E-9
	4.340000	3.625723E-9
	4.350000	3.623468E-9
	4.360000	3.623468E-9
	4.370000	3.619281E-9
	4.380000	3.615416E-9
	4.390000	3.613162E-9
	4.400000	3.609619E-9
	4.410000	3.609619E-9
	4.420000	3.607365E-9
	4.430000	3.604466E-9
	4.440000	3.604144E-9
	4.450000	3.604144E-9
	4.460000	3.610585E-9
	4.470000	3.620892E-9
	4.480000	3.638928E-9
	4.490000	3.665337E-9
